weight,nregion,modularity
x3033,33,0.925927716
x3034,32,0.925323389
x3040,44,0.94694745
x3041,37,0.939154945
x3042,36,0.933142267
x3043,32,0.928140454
x3044,31,0.9258467
x3100,41,0.945392246
x3101,36,0.930920518
x3102,33,0.924865828
x3103,32,0.922138581
x3104,33,0.928899497
x3110,39,0.938483412
x3111,34,0.929024497
x3112,30,0.922483384
x3113,34,0.922494807
x3114,33,0.923484279
x3120,35,0.935838439
x3121,33,0.928077957
x3122,31,0.924362165
x3123,32,0.922905644
x3124,31,0.923646495
x3130,36,0.936115441
x3131,34,0.930149848
x3132,35,0.926032307
x3133,31,0.924218131
x3134,30,0.922980015
x3140,37,0.939337069
x3141,35,0.933100733
x3142,34,0.927818573
x3143,32,0.925318059
x3144,31,0.925015816
x3200,33,0.931920232
x3201,34,0.92485197
x3202,32,0.923508627
x3203,31,0.923915026
x3204,34,0.927203085
x3210,32,0.930210064
x3211,31,0.923548809
x3212,31,0.922664932
x3213,32,0.922419822
x3214,33,0.924099847
x3220,33,0.930058622
x3221,32,0.925349422
x3222,32,0.923280085
x3223,31,0.92294314
x3224,31,0.922849152
x3230,35,0.930907442
x3231,36,0.92651205
x3232,32,0.924279464
x3233,31,0.923755369
x3234,32,0.922071911
x3240,35,0.93370598
x3241,34,0.928791957
x3242,32,0.925424496
x3243,31,0.924734963
x3244,30,0.923502181
x3300,32,0.925673615
x3301,32,0.92465243
x3302,29,0.92598482
x3303,31,0.927589429
x3304,30,0.929464819
x3310,33,0.925416872
x3311,33,0.924010803
x3312,31,0.922753328
x3313,31,0.923595919
x3314,32,0.924998829
x3320,32,0.926952188
x3321,31,0.923817716
x3322,32,0.923611393
x3323,29,0.922097048
x3324,32,0.923825358
x3330,36,0.927349461
x3331,32,0.924902594
x3332,31,0.924419444
x3333,32,0.924013364
x3334,32,0.922601887
x3340,33,0.929850896
x3341,32,0.925578512
x3342,30,0.923738761
x3343,30,0.924087256
x3344,31,0.923813568
x3400,32,0.928307894
x3401,30,0.926961549
x3402,31,0.92846631
x3403,29,0.928253017
x3404,30,0.928572524
x3410,31,0.925209657
x3411,30,0.92562572
x3412,31,0.924870898
x3413,31,0.926585767
x3414,30,0.927905593
x3420,33,0.925004709
x3421,32,0.924777494
x3422,31,0.923595169
x3423,30,0.923893072
x3424,31,0.924704535
x3430,32,0.926053948
x3431,31,0.924807538
x3432,32,0.924269306
x3433,31,0.923665916
x3434,30,0.923057546
x3440,31,0.927568793
x3441,30,0.924857784
x3442,29,0.924831197
x3443,31,0.924153897
x3444,29,0.924115846
x4000,76,0.979935306
x4001,47,0.952282069
x4002,39,0.937286338
x4003,35,0.928872859
x4004,35,0.925886261
x4010,54,0.960901601
x4011,41,0.943415223
x4012,36,0.932628085
x4013,37,0.927371474
x4014,33,0.923294456
x4020,46,0.951007446
x4021,36,0.938973225
x4022,35,0.931745319
x4023,36,0.926731133
x4024,32,0.924944203
x4030,45,0.945798844
x4031,37,0.937382115
